"Country or Area","Year","Item","Value"
"Ireland","2021","Final consumption expenditure","153055268000"
"Ireland","2021","Household consumption expenditure (including Non-profit institutions serving households)","100812345000"
"Ireland","2021","General government final consumption expenditure","52242923000"
"Ireland","2021","Gross capital formation","105303027000"
"Ireland","2021","Gross fixed capital formation (including Acquisitions less disposals of valuables)","99196373000"
"Ireland","2021","Changes in inventories","6106654000"
"Ireland","2021","Exports of goods and services","572987997000"
"Ireland","2021","Imports of goods and services","405102451000"
"Ireland","2021","Gross Domestic Product (GDP)","426283436000"
"Ireland","2020","Final consumption expenditure","140775728000"
"Ireland","2020","Household consumption expenditure (including Non-profit institutions serving households)","92693643000"
"Ireland","2020","General government final consumption expenditure","48082085000"
"Ireland","2020","Gross capital formation","162737355000"
"Ireland","2020","Gross fixed capital formation (including Acquisitions less disposals of valuables)","158065768000"
"Ireland","2020","Changes in inventories","4671587000"
"Ireland","2020","Exports of goods and services","497129621000"
"Ireland","2020","Imports of goods and services","426631324000"
"Ireland","2020","Gross Domestic Product (GDP)","372836398000"
"Ireland","2019","Final consumption expenditure","147229999000"
"Ireland","2019","Household consumption expenditure (including Non-profit institutions serving households)","104367650000"
"Ireland","2019","General government final consumption expenditure","42862349000"
"Ireland","2019","Gross capital formation","196026247000"
"Ireland","2019","Gross fixed capital formation (including Acquisitions less disposals of valuables)","193706172000"
"Ireland","2019","Changes in inventories","2320075000"
"Ireland","2019","Exports of goods and services","456152574000"
"Ireland","2019","Imports of goods and services","443632977000"
"Ireland","2019","Gross Domestic Product (GDP)","356704596000"
"Ireland","2018","Final consumption expenditure","139246807000"
"Ireland","2018","Household consumption expenditure (including Non-profit institutions serving households)","100005237000"
"Ireland","2018","General government final consumption expenditure","39241570000"
"Ireland","2018","Gross capital formation","93259371000"
"Ireland","2018","Gross fixed capital formation (including Acquisitions less disposals of valuables)","92740274000"
"Ireland","2018","Changes in inventories","519097000"
"Ireland","2018","Exports of goods and services","401053284000"
"Ireland","2018","Imports of goods and services","307985260000"
"Ireland","2018","Gross Domestic Product (GDP)","326631278000"
"Ireland","2017","Final consumption expenditure","131395024000"
"Ireland","2017","Household consumption expenditure (including Non-profit institutions serving households)","94700253000"
"Ireland","2017","General government final consumption expenditure","36694771000"
"Ireland","2017","Gross capital formation","102942846000"
"Ireland","2017","Gross fixed capital formation (including Acquisitions less disposals of valuables)","98742796000"
"Ireland","2017","Changes in inventories","4200050000"
"Ireland","2017","Exports of goods and services","360343764000"
"Ireland","2017","Imports of goods and services","294747163000"
"Ireland","2017","Gross Domestic Product (GDP)","297763216000"
"Ireland","2016","Final consumption expenditure","125704867000"
"Ireland","2016","Household consumption expenditure (including Non-profit institutions serving households)","91211410000"
"Ireland","2016","General government final consumption expenditure","34493457000"
"Ireland","2016","Gross capital formation","101567156000"
"Ireland","2016","Gross fixed capital formation (including Acquisitions less disposals of valuables)","96817324000"
"Ireland","2016","Changes in inventories","4749832000"
"Ireland","2016","Exports of goods and services","328827920000"
"Ireland","2016","Imports of goods and services","286532042000"
"Ireland","2016","Gross Domestic Product (GDP)","270205336000"
"Ireland","2015","Final consumption expenditure","119559352000"
"Ireland","2015","Household consumption expenditure (including Non-profit institutions serving households)","86672273000"
"Ireland","2015","General government final consumption expenditure","32887079000"
"Ireland","2015","Gross capital formation","67813707000"
"Ireland","2015","Gross fixed capital formation (including Acquisitions less disposals of valuables)","63381047000"
"Ireland","2015","Changes in inventories","4432660000"
"Ireland","2015","Exports of goods and services","321083703000"
"Ireland","2015","Imports of goods and services","245445271000"
"Ireland","2015","Gross Domestic Product (GDP)","262975914000"
"Ireland","2014","Final consumption expenditure","115611177000"
"Ireland","2014","Household consumption expenditure (including Non-profit institutions serving households)","83622620000"
"Ireland","2014","General government final consumption expenditure","31988557000"
"Ireland","2014","Gross capital formation","43374161000"
"Ireland","2014","Gross fixed capital formation (including Acquisitions less disposals of valuables)","40256824000"
"Ireland","2014","Changes in inventories","3117337000"
"Ireland","2014","Exports of goods and services","214831065000"
"Ireland","2014","Imports of goods and services","179717932000"
"Ireland","2014","Gross Domestic Product (GDP)","195085247000"
"Ireland","2013","Final consumption expenditure","111459575000"
"Ireland","2013","Household consumption expenditure (including Non-profit institutions serving households)","80708771000"
"Ireland","2013","General government final consumption expenditure","30750804000"
"Ireland","2013","Gross capital formation","33713765000"
"Ireland","2013","Gross fixed capital formation (including Acquisitions less disposals of valuables)","33374594000"
"Ireland","2013","Changes in inventories","339171000"
"Ireland","2013","Exports of goods and services","186651178000"
"Ireland","2013","Imports of goods and services","152958213000"
"Ireland","2013","Gross Domestic Product (GDP)","179457589000"
"Ireland","2012","Final consumption expenditure","111329941000"
"Ireland","2012","Household consumption expenditure (including Non-profit institutions serving households)","79405670000"
"Ireland","2012","General government final consumption expenditure","31924271000"
"Ireland","2012","Gross capital formation","35462063000"
"Ireland","2012","Gross fixed capital formation (including Acquisitions less disposals of valuables)","34382711000"
"Ireland","2012","Changes in inventories","1079352000"
"Ireland","2012","Exports of goods and services","183371882000"
"Ireland","2012","Imports of goods and services","152838007000"
"Ireland","2012","Gross Domestic Product (GDP)","175615418000"
"Ireland","2011","Final consumption expenditure","111825457000"
"Ireland","2011","Household consumption expenditure (including Non-profit institutions serving households)","79038875000"
"Ireland","2011","General government final consumption expenditure","32786582000"
"Ireland","2011","Gross capital formation","29492404000"
"Ireland","2011","Gross fixed capital formation (including Acquisitions less disposals of valuables)","28676893000"
"Ireland","2011","Changes in inventories","815511000"
"Ireland","2011","Exports of goods and services","177294175000"
"Ireland","2011","Imports of goods and services","145237653000"
"Ireland","2011","Gross Domestic Product (GDP)","171703172000"
"Ireland","2010","Final consumption expenditure","110619842000"
"Ireland","2010","Household consumption expenditure (including Non-profit institutions serving households)","79375338000"
"Ireland","2010","General government final consumption expenditure","31244504000"
"Ireland","2010","Gross capital formation","28920669000"
"Ireland","2010","Gross fixed capital formation (including Acquisitions less disposals of valuables)","29422483000"
"Ireland","2010","Changes in inventories","-501814000"
"Ireland","2010","Exports of goods and services","172819788000"
"Ireland","2010","Imports of goods and services","145099139000"
"Ireland","2010","Gross Domestic Product (GDP)","167391397000"
"Ireland","2009","Final consumption expenditure","114114262000"
"Ireland","2009","Household consumption expenditure (including Non-profit institutions serving households)","80141446000"
"Ireland","2009","General government final consumption expenditure","33972816000"
"Ireland","2009","Gross capital formation","34418721000"
"Ireland","2009","Gross fixed capital formation (including Acquisitions less disposals of valuables)","35875668000"
"Ireland","2009","Changes in inventories","-1456947000"
"Ireland","2009","Exports of goods and services","158596149000"
"Ireland","2009","Imports of goods and services","135675654000"
"Ireland","2009","Gross Domestic Product (GDP)","169519713000"
"Ireland","2008","Final consumption expenditure","125543271000"
"Ireland","2008","Household consumption expenditure (including Non-profit institutions serving households)","90610453000"
"Ireland","2008","General government final consumption expenditure","34932818000"
