date, GDP , Per Capita (US $), Annual % Change
12/31/1995,0.914762874,12802.1227,4.3
12/31/1996,1.023005863,14212.1652,7.7
12/31/1997,1.180968165,16223.6502,8.6
12/31/1998,1.382605389,18753.0401,13.5
12/31/1999,1.567402514,20991.6231,13.7
12/31/2000,1.5636678,20693.8382,5.3
12/31/2001,1.659131244,21716.946,5.4
12/31/2002,1.947332922,25230.0756,6.2
12/31/2003,2.328658228,29877.9588,6
12/31/2004,2.822358473,35872.7261,5.2
12/31/2005,3.032409189,38184.3378,5.9
12/31/2006,3.422735302,42662.6029,7.7
12/31/2007,4.466353635,55072.178,7.5
12/31/2008,5.928788781,72304.9475,4.9
12/31/2009,5.486918995,66175.2276,2.1
12/31/2010,5.920366628,70625.1685,3.4
12/31/2011,6.565668781,77838.3969,2
12/31/2012,6.690228489,79326.383,7.3039
12/31/2013,7.001180246,83204.7472,4.1419
12/31/2014,7.708459145,91881.1284,5.155
12/31/2015,7.084795708,84753.4567,-0.3858
12/31/2016,6.846373277,82041.621,6.9523
12/31/2017,6.979791187,83510.3037,2.8378
12/31/2018,7.491654051,89425.8914,2.2134
12/31/2019,7.314966839,87152.453,0.2549
12/31/2020,6.684229269,79530.6055,-8.8362
