"Country or Area","Year(s)","Variant","Value"
"Ireland","2101","Medium",""
"Ireland","2100","Medium","1.749"
"Ireland","2099","Medium","1.747"
"Ireland","2098","Medium","1.745"
"Ireland","2097","Medium","1.743"
"Ireland","2096","Medium","1.742"
"Ireland","2095","Medium","1.74"
"Ireland","2094","Medium","1.739"
"Ireland","2093","Medium","1.738"
"Ireland","2092","Medium","1.737"
"Ireland","2091","Medium","1.736"
"Ireland","2090","Medium","1.736"
"Ireland","2089","Medium","1.735"
"Ireland","2088","Medium","1.735"
"Ireland","2087","Medium","1.735"
"Ireland","2086","Medium","1.735"
"Ireland","2085","Medium","1.736"
"Ireland","2084","Medium","1.736"
"Ireland","2083","Medium","1.736"
"Ireland","2082","Medium","1.737"
"Ireland","2081","Medium","1.737"
"Ireland","2080","Medium","1.737"
"Ireland","2079","Medium","1.737"
"Ireland","2078","Medium","1.737"
"Ireland","2077","Medium","1.737"
"Ireland","2076","Medium","1.737"
"Ireland","2075","Medium","1.736"
"Ireland","2074","Medium","1.736"
"Ireland","2073","Medium","1.735"
"Ireland","2072","Medium","1.735"
"Ireland","2071","Medium","1.734"
"Ireland","2070","Medium","1.733"
"Ireland","2069","Medium","1.732"
"Ireland","2068","Medium","1.731"
"Ireland","2067","Medium","1.731"
"Ireland","2066","Medium","1.73"
"Ireland","2065","Medium","1.729"
"Ireland","2064","Medium","1.729"
"Ireland","2063","Medium","1.728"
"Ireland","2062","Medium","1.728"
"Ireland","2061","Medium","1.728"
"Ireland","2060","Medium","1.729"
"Ireland","2059","Medium","1.729"
"Ireland","2058","Medium","1.73"
"Ireland","2057","Medium","1.731"
"Ireland","2056","Medium","1.732"
"Ireland","2055","Medium","1.734"
"Ireland","2054","Medium","1.736"
"Ireland","2053","Medium","1.738"
"Ireland","2052","Medium","1.741"
"Ireland","2051","Medium","1.745"
"Ireland","2050","Medium","1.748"
"Ireland","2049","Medium","1.753"
"Ireland","2048","Medium","1.757"
"Ireland","2047","Medium","1.762"
"Ireland","2046","Medium","1.768"
"Ireland","2045","Medium","1.774"
"Ireland","2044","Medium","1.78"
"Ireland","2043","Medium","1.787"
"Ireland","2042","Medium","1.794"
"Ireland","2041","Medium","1.802"
"Ireland","2040","Medium","1.809"
"Ireland","2039","Medium","1.818"
"Ireland","2038","Medium","1.826"
"Ireland","2037","Medium","1.834"
"Ireland","2036","Medium","1.843"
"Ireland","2035","Medium","1.852"
"Ireland","2034","Medium","1.861"
"Ireland","2033","Medium","1.871"
"Ireland","2032","Medium","1.88"
"Ireland","2031","Medium","1.89"
"Ireland","2030","Medium","1.9"
"Ireland","2029","Medium","1.911"
"Ireland","2028","Medium","1.921"
"Ireland","2027","Medium","1.932"
"Ireland","2026","Medium","1.943"
"Ireland","2025","Medium","1.955"
"Ireland","2024","Medium","1.967"
"Ireland","2023","Medium","1.979"
"Ireland","2022","Medium","1.993"
"Ireland","2021","Medium","3.077"
"Ireland","2020","Medium","3.102"
"Ireland","2019","Medium","5.964"
"Ireland","2018","Medium","6.984"
"Ireland","2017","Medium","6.139"
"Ireland","2016","Medium","4.032"
"Ireland","2015","Medium","2.818"
"Ireland","2014","Medium","0.154"
"Ireland","2013","Medium","-2.615"
"Ireland","2012","Medium","-4.809"
"Ireland","2011","Medium","-5.781"
"Ireland","2010","Medium","-5.973"
"Ireland","2009","Medium","-4.114"
"Ireland","2008","Medium","4.354"
"Ireland","2007","Medium","17.911"
"Ireland","2006","Medium","22.681"
"Ireland","2005","Medium","15.699"
"Ireland","2004","Medium","12.36"
"Ireland","2003","Medium","8.309"
"Ireland","2002","Medium","8.889"
"Ireland","2001","Medium","10.362"
"Ireland","2000","Medium","8.32"
"Ireland","1999","Medium","6.303"
"Ireland","1998","Medium","4.557"
"Ireland","1997","Medium","4.942"
"Ireland","1996","Medium","2.736"
"Ireland","1995","Medium","2.85"
"Ireland","1994","Medium","-0.826"
"Ireland","1993","Medium","-0.901"
"Ireland","1992","Medium","0.438"
"Ireland","1991","Medium","1.455"
"Ireland","1990","Medium","-2.345"
"Ireland","1989","Medium","-8.199"
"Ireland","1988","Medium","-12.407"
"Ireland","1987","Medium","-10.713"
"Ireland","1986","Medium","-5.91"
"Ireland","1985","Medium","-4.466"
"Ireland","1984","Medium","-4.296"
"Ireland","1983","Medium","-4.123"
"Ireland","1982","Medium","-4.037"
"Ireland","1981","Medium","-2.993"
"Ireland","1980","Medium","-0.643"
"Ireland","1979","Medium","0.673"
"Ireland","1978","Medium","4.659"
"Ireland","1977","Medium","4.562"
"Ireland","1976","Medium","4.459"
"Ireland","1975","Medium","4.484"
"Ireland","1974","Medium","4.545"
"Ireland","1973","Medium","4.675"
"Ireland","1972","Medium","4.799"
"Ireland","1971","Medium","2.226"
"Ireland","1970","Medium","-2.926"
"Ireland","1969","Medium","-3.395"
"Ireland","1968","Medium","-3.806"
"Ireland","1967","Medium","-3.864"
"Ireland","1966","Medium","-4.159"
"Ireland","1965","Medium","-4.821"
"Ireland","1964","Medium","-5.394"
"Ireland","1963","Medium","-5.586"
"Ireland","1962","Medium","-5.927"
"Ireland","1961","Medium","-7.885"
"Ireland","1960","Medium","-13.766"
"Ireland","1959","Medium","-14.488"
"Ireland","1958","Medium","-14.874"
"Ireland","1957","Medium","-14.848"
"Ireland","1956","Medium","-14.915"
"Ireland","1955","Medium","-14.843"
"Ireland","1954","Medium","-14.961"
"Ireland","1953","Medium","-15.209"
"Ireland","1952","Medium","-14.495"
"Ireland","1951","Medium","-1.135"
"Ireland","1950","Medium","-4.34"

