"Country or Area","Year(s)","Variant","Value"
"Ireland","2100","Medium","5722.314"
"Ireland","2100","High","7860.882"
"Ireland","2100","Low","4070.939"
"Ireland","2100","Constant fertility","5914.937"
"Ireland","2100","Instant replacement","7269.839"
"Ireland","2100","Zero migration","4565.717"
"Ireland","2100","Constant mortality","5104.307"
"Ireland","2100","No change","5293.958"
"Ireland","2100","Momentum","5380.634"
"Ireland","2100","Instant replacement zero migration","5949.027"
"Ireland","2100","Median PI","5722.314"
"Ireland","2100","Upper 80 PI","6780.766"
"Ireland","2100","Lower 80 PI","4835.195"
"Ireland","2100","Upper 95 PI","7337.999"
"Ireland","2100","Lower 95 PI","4321.352"
"Ireland","2099","Medium","5728.935"
"Ireland","2099","High","7819.794"
"Ireland","2099","Low","4105.611"
"Ireland","2099","Constant fertility","5917.008"
"Ireland","2099","Instant replacement","7243.701"
"Ireland","2099","Zero migration","4586.908"
"Ireland","2099","Constant mortality","5118.597"
"Ireland","2099","No change","5303.918"
"Ireland","2099","Momentum","5381.972"
"Ireland","2099","Instant replacement zero migration","5942.44"
"Ireland","2099","Median PI","5728.935"
"Ireland","2099","Upper 80 PI","6766.21"
"Ireland","2099","Lower 80 PI","4857.881"
"Ireland","2099","Upper 95 PI","7304.294"
"Ireland","2099","Lower 95 PI","4346.88"
"Ireland","2098","Medium","5735.154"
"Ireland","2098","High","7778.89"
"Ireland","2098","Low","4139.749"
"Ireland","2098","Constant fertility","5918.795"
"Ireland","2098","Instant replacement","7217.492"
"Ireland","2098","Zero migration","4607.74"
"Ireland","2098","Constant mortality","5133.07"
"Ireland","2098","No change","5314.157"
"Ireland","2098","Momentum","5383.514"
"Ireland","2098","Instant replacement zero migration","5935.712"
"Ireland","2098","Median PI","5735.155"
"Ireland","2098","Upper 80 PI","6751.319"
"Ireland","2098","Lower 80 PI","4873.852"
"Ireland","2098","Upper 95 PI","7264.361"
"Ireland","2098","Lower 95 PI","4377.704"
"Ireland","2097","Medium","5740.98"
"Ireland","2097","High","7738.265"
"Ireland","2097","Low","4173.304"
"Ireland","2097","Constant fertility","5920.224"
"Ireland","2097","Instant replacement","7191.168"
"Ireland","2097","Zero migration","4628.206"
"Ireland","2097","Constant mortality","5147.717"
"Ireland","2097","No change","5324.584"
"Ireland","2097","Momentum","5385.216"
"Ireland","2097","Instant replacement zero migration","5928.796"
"Ireland","2097","Median PI","5740.98"
"Ireland","2097","Upper 80 PI","6734.571"
"Ireland","2097","Lower 80 PI","4893.426"
"Ireland","2097","Upper 95 PI","7235.904"
"Ireland","2097","Lower 95 PI","4411.867"
"Ireland","2096","Medium","5746.414"
"Ireland","2096","High","7697.968"
"Ireland","2096","Low","4206.252"
"Ireland","2096","Constant fertility","5921.261"
"Ireland","2096","Instant replacement","7164.727"
"Ireland","2096","Zero migration","4648.293"
"Ireland","2096","Constant mortality","5162.468"
"Ireland","2096","No change","5335.105"
"Ireland","2096","Momentum","5387.028"
"Ireland","2096","Instant replacement zero migration","5921.691"
"Ireland","2096","Median PI","5746.414"
"Ireland","2096","Upper 80 PI","6716.986"
"Ireland","2096","Lower 80 PI","4916.254"
"Ireland","2096","Upper 95 PI","7215.851"
"Ireland","2096","Lower 95 PI","4444.12"
"Ireland","2095","Medium","5751.26"
"Ireland","2095","High","7657.776"
"Ireland","2095","Low","4238.447"
"Ireland","2095","Constant fertility","5921.846"
"Ireland","2095","Instant replacement","7138.134"
"Ireland","2095","Zero migration","4667.863"
"Ireland","2095","Constant mortality","5177.088"
"Ireland","2095","No change","5345.623"
"Ireland","2095","Momentum","5388.894"
"Ireland","2095","Instant replacement zero migration","5914.38"
"Ireland","2095","Median PI","5751.26"
"Ireland","2095","Upper 80 PI","6699.476"
"Ireland","2095","Lower 80 PI","4936.288"
